Period,consumer_sentiment,current_conditions,future_expectations,country_economic_conditions,city_economic_conditions,household_income,household_budget,discretionary_spending,household_spending,job_prospect,consumer_outlook,Country 
01/01/2020,-2,-32,10,-18,1,17,17,3,31,-66,Negative,Ghana
01/02/2020,-17,-41,-7,-35,-19,-7,-12,-7,38,-76,Negative,Ghana
01/03/2020,-51,-73,-42,-46,-49,-44,-41,-52,-33,-93,Negative,Ghana
01/04/2020,-21,-62,-5,-24,-14,4,-7,-36,15,-88,Negative,Ghana
01/05/2020,-13,-50,2,-49,-22,21,-1,-5,62,-95,Negative,Ghana
01/06/2020,-27,-55,-16,-29,-19,-12,-25,-29,4,-82,Negative,Ghana
01/07/2020,-17,-48,-5,-28,-5,6,-10,-20,15,-75,Negative,Ghana
01/08/2020,-7,-26,0,-12,-6,9,-2,-2,12,-51,Negative,Ghana
01/09/2020,-16,-41,-6,-22,-11,2,-5,-31,5,-52,Negative,Ghana
01/10/2020,-15,-37,-6,-16,-9,1,-9,-22,3,-51,Negative,Ghana
01/11/2020,-2,-34,11,-1,6,23,7,-4,20,-65,Negative,Ghana
01/12/2020,-3,-28,8,-5,2,13,7,-6,21,-49,Negative,Ghana
01/01/2021,-3,-28,7,-11,-2,18,8,-5,21,-52,Negative,Ghana
01/02/2021,-5,-28,5,-18,-10,13,10,-3,28,-54,Negative,Ghana
01/03/2021,6,-22,18,-6,12,23,21,6,38,-51,Neutral,Ghana
01/04/2021,8,-21,19,-3,10,33,20,2,35,-44,Neutral,Ghana
01/05/2021,-3,-25,7,-17,-8,14,9,3,35,-53,Negative,Ghana
01/06/2021,11,-18,22,2,14,36,26,15,33,-51,Neutral,Ghana
01/07/2021,11,-21,24,25,31,35,13,14,14,-57,Neutral,Ghana
01/08/2021,6,-15,15,18,14,17,18,8,7,-37,Neutral,Ghana
01/09/2021,10,-13,19,19,19,30,15,10,10,-35,Neutral,Ghana
01/10/2021,5,-21,16,13,13,26,17,11,11,-54,Neutral,Ghana
01/11/2021,15,-19,28,34,30,38,25,8,14,-46,Neutral,Ghana
01/12/2021,17,-13,29,32,35,38,16,25,26,-51,Positive,Ghana
01/01/2022,-1,-24,9,9,12,19,4,-3,-1,-44,Negative,Ghana
01/02/2022,-2,-15,3,-18,15,9,6,7,6,-36,Negative,Ghana
01/03/2022,-8,-25,-1,3,5,-7,7,-3,-14,-46,Negative,Ghana
01/04/2022,-1,-18,6,2,16,13,6,-2,-6,-35,Negative,Ghana
01/05/2022,5,-14,13,2,9,28,20,0,5,-27,Neutral,Ghana
01/06/2022,3,-23,13,7,3,14,17,-7,25,-40,Neutral,Ghana
01/07/2022,7,-14,16,11,18,16,13,4,22,-31,Neutral,Ghana
01/08/2022,12,-21,25,28,26,36,18,2,16,-44,Neutral,Ghana
01/09/2022,2,-28,14,-6,-6,29,24,-10,27,-46,Neutral,Ghana
01/10/2022,5,-23,17,1,4,29,20,-1,28,-46,Neutral,Ghana
01/11/2022,13,-28,29,11,13,51,32,6,39,-62,Neutral,Ghana
01/12/2022,13,-35,32,29,28,59,15,-1,29,-68,Neutral,Ghana
01/01/2023,16,-33,35,35,34,60,20,0,27,-66,Positive,Ghana
01/02/2023,16,-27,33,25,28,60,29,12,24,-66,Positive,Ghana
01/03/2023,20,-31,41,53,50,65,25,8,11,-69,Positive,Ghana
01/04/2023,21,-26,39,38,34,61,41,18,24,-70,Positive,Ghana
01/05/2023,19,-14,32,20,22,52,39,28,27,-57,Positive,Ghana
01/06/2023,18,-17,31,25,28,51,41,25,12,-59,Positive,Ghana
01/07/2023,19,-26,37,22,23,64,50,18,26,-69,Positive,Ghana
01/08/2023,15,-29,33,37,34,59,33,-4,4,-55,Neutral,Ghana
01/09/2023,22,-26,41,34,36,67,48,11,19,-63,Positive,Ghana
01/10/2023,23,-36,46,59,61,70,46,-7,-5,-66,Positive,Ghana
01/06/2016,-8,-39,4,19,5,10,26,-18,-38,-61,Negative,Ivory Coast
01/07/2016,11,-14,21,33,24,19,33,19,-4,-48,Neutral,Ivory Coast
01/08/2016,-11,-21,-7,-9,-13,-2,-3,4,-9,-45,Negative,Ivory Coast
01/09/2016,-12,-28,-6,-8,-9,-4,-1,7,-8,-64,Negative,Ivory Coast
01/10/2016,-3,-21,4,10,3,7,6,7,-9,-49,Negative,Ivory Coast
01/11/2016,-1,-22,7,11,3,8,9,19,4,-63,Negative,Ivory Coast
01/12/2016,2,-27,13,11,15,17,12,16,10,-70,Neutral,Ivory Coast
01/01/2017,-7,-30,2,-2,4,3,14,-5,-9,-54,Negative,Ivory Coast
01/02/2017,-3,-26,6,-1,3,7,21,3,3,-56,Negative,Ivory Coast
01/03/2017,5,-22,15,7,17,19,22,8,12,-53,Neutral,Ivory Coast
01/04/2017,5,-26,17,18,18,20,13,22,14,-74,Neutral,Ivory Coast
01/05/2017,7,-9,13,9,18,15,17,13,6,-31,Neutral,Ivory Coast
01/06/2017,10,-5,16,15,21,18,7,17,16,-26,Neutral,Ivory Coast
01/07/2017,6,-6,11,10,6,14,11,10,13,-22,Neutral,Ivory Coast
01/08/2017,9,-15,19,21,19,27,18,17,11,-46,Neutral,Ivory Coast
01/09/2017,10,-15,20,23,19,23,17,18,17,-48,Neutral,Ivory Coast
01/10/2017,1,-19,8,5,7,9,25,-3,-4,-35,Neutral,Ivory Coast
01/11/2017,20,2,27,32,27,25,21,35,31,-31,Positive,Ivory Coast
01/12/2017,22,-9,35,40,37,40,33,43,26,-61,Positive,Ivory Coast
01/01/2018,22,-16,38,39,41,39,42,29,27,-61,Positive,Ivory Coast
01/02/2018,21,-14,35,37,36,37,33,28,31,-56,Positive,Ivory Coast
01/03/2018,19,-9,30,34,32,30,23,30,30,-48,Positive,Ivory Coast
01/04/2018,15,-12,25,28,27,24,26,21,23,-46,Neutral,Ivory Coast
01/05/2018,16,-8,25,29,24,27,25,22,20,-37,Positive,Ivory Coast
01/06/2018,17,-12,28,30,29,33,17,16,32,-41,Positive,Ivory Coast
